序	代码	名称	超大单净额	
1	600218	全柴动力	1.21亿		
2	600776	东方通信	1.86亿		
3	600157	永泰能源	1.43亿		
4	000957	中通客车	7712万		
5	600604	市北高新	8034万		
6	600677	航天通信	1.06亿		
7	603000	人民网	4990万		
8	600316	洪都航空	3809万		
9	002148	北纬科技	4493万		
10	600830	香溢融通	3584万		
11	600783	鲁信创投	3672万		
12	000823	超声电子	2945万		
13	000531	穗恒运Ａ	4462万		
14	002518	科士达	1160万		
15	002400	省广集团	2670万		
16	001696	宗申动力	623万		
17	002369	卓翼科技	2266万		
18	600789	鲁抗医药	1165万		
19	600503	华丽家族	1151万		
20	000812	陕西金叶	873万		
21	000049	德赛电池	451万		
22	002161	远 望 谷	1569万		
23	600187	国中水务	445万		
24	600458	时代新材	161万		
25	600592	龙溪股份	1462万		
26	002355	兴民智通	-254万		
27	600509	天富能源	509万		
28	600624	复旦复华	-203万		
29	601515	东风股份	1366万		
30	600331	宏达股份	300万		
31	601886	江河集团	138万		
32	600645	中源协和	377万		
33	002073	软控股份	661万		
34	000996	中国中期	17.4万		
35	600433	冠豪高新	481万		
36	002181	粤 传 媒	718万		
37	600601	方正科技	91.9万		
38	600759	洲际油气	389万		
39	000851	高鸿股份	1048万		
40	601718	际华集团	856万		
41	600120	浙江东方	-68.2万		
42	600386	北巴传媒	238万		
43	600790	轻纺城	0		
44	601018	宁波港	47.6万		
45	600686	金龙汽车	151万		
46	000680	山推股份	348万		
47	600033	福建高速	108万		
48	000607	华媒控股	0		
49	600805	悦达投资	129万		
50	600222	太龙药业	13.3万		
51	002401	中远海科	114万		
52	600006	东风汽车	112万		
53	600229	城市传媒	0		
54	002158	汉钟精机	-350万		
55	600017	日照港	109万		
56	000700	模塑科技	145万		
57	600186	莲花健康	203万		
58	002071	长城影视	118万		
59	600827	百联股份	-14.3万		
60	600293	三峡新材	131万		
61	002229	鸿博股份	-527万		
62	600098	广州发展	0		
63	600838	上海九百	100万		
64	600251	冠农股份	164万		
65	002154	报 喜 鸟	264万		
66	600551	时代出版	17.7万		
67	600292	远达环保	-114万		
68	000966	长源电力	0		
69	000905	厦门港务	-84.6万		
70	600895	张江高科	-185万		
71	600220	江苏阳光	159万		
72	002367	康力电梯	526万		
73	601199	江南水务	0		
74	600170	上海建工	-70.7万		
75	300020	银江股份	157万		
76	600743	华远地产	0		
77	002561	徐家汇	0		
78	000726	鲁 泰Ａ	0		
79	601999	出版传媒	0		
80	000708	大冶特钢	-24.9万		
81	600616	金枫酒业	0		
82	600077	宋都股份	169万		
83	601872	招商轮船	-290万		
84	600652	游久游戏	138万		
85	600868	梅雁吉祥	-187万		
86	601101	昊华能源	237万		
87	600640	号百控股	-144万		
88	601928	凤凰传媒	-146万		
89	300039	上海凯宝	0		
90	600223	鲁商置业	117万		
91	601369	陕鼓动力	0		
92	600485	信威集团	0		
93	600199	金种子酒	-112万		
94	002325	洪涛股份	-180万		
95	600067	冠城大通	-145万		
96	600802	福建水泥	-192万		
97	601996	丰林集团	-20.5万		
98	002140	东华科技	0		
99	600269	赣粤高速	158万		
100	600107	美尔雅	-3440		
101	600108	亚盛集团	-168万		
102	600676	交运股份	-156万		
103	001896	豫能控股	29.6万		
104	000565	渝三峡Ａ	138万		
105	600481	双良节能	0		
106	002067	景兴纸业	542万		
107	600722	金牛化工	-7.36万		
108	600078	澄星股份	0		
109	002574	明牌珠宝	-178万		
110	601566	九牧王	0		
111	600058	五矿发展	0		
112	300147	香雪制药	86.0万		
113	600653	申华控股	318万		
114	600595	中孚实业	-10.2万		
115	600022	山东钢铁	-154万		
116	600088	中视传媒	6.95万		
117	002029	七 匹 狼	-119万		
118	600620	天宸股份	-150万		
119	600662	强生控股	218万		
120	600221	海航控股	153万		
121	600575	皖江物流	-17.8万		
122	600649	城投控股	-7.66万		
123	603001	奥康国际	0		
124	000616	海航投资	-154万		
125	000551	创元科技	0		
126	600288	大恒科技	0		
127	600336	澳柯玛	3.62万		
128	000762	西藏矿业	141万		
129	600716	凤凰股份	0		
130	601126	四方股份	0		
131	000790	泰合健康	191万		
132	002011	盾安环境	23.4万		
